ts,assumption,rationale,impact_area
2025-12-04 11:57:03,API key will be used to enrich course metadata (slope/rating/etc.).,Needed for course difficulty context in analysis.,Course enrichment / difficulty-adjusted scoring
2025-12-04 11:57:03,Each vendor row ingested in 2.1 is treated as authoritative raw input and receives a unique row_id.,"We need stable row-level lineage for audit, QA, and troubleshooting after filtering/merging.","All downstream analysis, data retention reporting, error investigation"
2025-12-04 11:57:03,"Treat 'Round DateTime (UTC)' as the local tee time recorded by the device, not verified true UTC.","Empirical comparison showed timestamps align to played local time, not actual UTC offsets.","Time-of-day analysis, temporal feature engineering"
2025-12-04 11:57:03,Normalize vendor 'Round GIR' strings into real % on 0–100 scale.,Vendor encodes GIR in scaled percentage form; we need comparable KPIs.,Round-level GIR reporting and trend analysis
2025-12-04 11:57:03,Only 48.1% of rows have full GPS start/end coordinates.,Geospatial/yardage/dispersion analyses must restrict to GPS-complete rows.,Shot-level yardage validation and dispersion mapping
2025-12-04 11:57:03,275 rows contain hole_score <= 0. These rows will be excluded from scoring KPIs.,"hole_score <= 0 indicates incomplete/invalid hole tracking, not real golf results.",Round completeness checks and scoring statistics in Data Preparation
2025-12-04 11:57:03,Vendor yardage validated against geodesic distance with ±5.0% tolerance for shots ≥ 30.0 yards.,Short/green-side shots are GPS-noisy and not useful for club benchmarking.,"Club-distance profiling, dispersion analysis, approach/tee club selection"
2025-12-04 11:57:04,Phase 2 (Data Understanding) closed and archived. Section 3 (Data Preparation) will build from this governed baseline.,Ensures reproducibility and auditability of all downstream transformations.,Change control / data lineage / reproducibility
2025-12-04 11:57:09,Rows with hole_score <= 0 or missing are excluded from scoring and round-validity analysis.,"These rows typically represent placeholders, incomplete entries, or non-scoring events and would distort round completeness.","3.1 Round Validity, scoring KPIs"
2025-12-04 11:57:09,A valid golf round must contain 9 or 18 distinct scored holes.,"Non-standard hole counts typically indicate partial logging, practice rounds, or device interruptions.",3.1 Round Validity; completeness filtering in 3.1.3–3.1.4
2025-12-04 11:57:09,"Rounds with holes_scored_in_round not in {9, 18} are considered partial and will be excluded downstream.","Partial rounds bias round-level KPIs, trends, and sequencing logic.",3.1 Round Validity
2025-12-04 11:57:09,Only rounds with exactly 9 or 18 scored holes are retained in the working dataset.,"Partial or mislogged rounds bias round-level KPIs, scoring averages, and sequencing.",3.1 Round Validity; downstream scoring analysis
2025-12-04 11:57:09,Player-level round sequencing uses round_dt as the primary chronology key.,"round_dt is the most consistently available temporal signal after 2.x; using it enables progression analysis (1st, 2nd, 3rd round).","3.1.x round-level feature engineering, trend/progression views"
2025-12-04 11:57:10,"Course-familiarity sequencing uses round_dt within each (player, facility, course) group.",round_dt is the most reliable chronological signal for when a player visited a specific course.,3.1 round-level feature engineering; facility/course familiarity analysis
2025-12-04 11:57:10,"Derived time-of-day context (hour, DOW, weekend, part_of_day) from round_dt assuming it reflects local tee time.",GolfShot timestamps behave like local start times; using them enables time-based segmentation.,3.1.8 Round-level temporal features and fatigue/time-of-day performance analysis
2025-12-04 11:57:10,Rounds with tee times outside 05:00–20:59 are retained but treated as time-quality-suspect.,Early/late device syncs or timezone mismatches can produce odd timestamps; keeping rows avoids losing scoring data.,3.1.8 round-level temporal analysis; time-of-day performance splits
2025-12-04 11:57:10,"Seasons mapped as Winter(12–2), Spring(3–5), Summer(6–8), Fall(9–11).",Standard Northern Hemisphere golf season alignment.,3.1.8 seasonal and trend analysis
2025-12-04 11:57:10,"Round-level fields use the prefix 'round_', hole-level fields use 'hole_', and shot-level fields use 'shot_'.","Consistent prefixes make join logic, exports, and downstream feature engineering clearer.",3.x Data Preparation; final exports
2025-12-04 11:57:11,Scramble logic uses (missed GIR + had strokes left for par) as the opportunity definition.,"We don’t have full lie/shot-type detail, so we approximate scramble chances from par minus non-putt strokes.","3.2 hole-outcome analytics, short-game performance storytelling"
2025-12-04 11:57:11,Hole-level enrichment (3.2.1–3.2.3) completed and schema locked; hole-level GPS centroids added where shot data exists.,Ensures hole-level visualizations (e.g. Tableau maps) have a consistent spatial anchor.,3.x Data Preparation → spatial / mapping views
2025-12-04 11:57:18,Club-level dispersion should be influenced more by holes where the player hit more shots.,"More shots on a hole give a more stable estimate of lateral spread, so we weight by shots_used.",3.3 Club-level Validity & Features
2025-12-04 11:57:18,"Club-level artifacts (3.3.1–3.3.5), including driver-calibrated dispersion-cone fields, are considered stable for Phase 4 visualization.",All three source club tables validated; dispersion was attached back to player_club_profile; cone fields successfully derived per player.,"Phase 4 dashboards, dispersion maps, player-level club analysis"
2025-12-04 11:57:18,Facility geocoding / API enrichment will rely on user-supplied hint_city and hint_state_abbr when present.,Observed shot data does not always contain enough location context to disambiguate facilities; user hints reduce API errors.,3.4 Facility-level Validity & Features; future geocoding and course-enrichment steps
2025-12-04 11:57:18,Facility centroids are initially derived from observed shot GPS; later geocoding/API steps may improve accuracy.,Shot clusters usually sit on the course but may not match the clubhouse/geocoding centroid exactly.,3.4 Facility-level Validity & Features; mapping; timezone derivation
2025-12-04 11:57:20,Timezone derived via TimezoneFinder using geo_lat/geo_lon; defaults to America/New_York for missing or invalid coordinates.,Guarantees that every facility has a valid IANA timezone for downstream temporal normalization.,Facility-level enrichment / datetime alignment
2025-12-04 11:57:20,External GolfCourseAPI enrichment is staged in a cache file and not applied directly to the main facilities table.,Prevents bad API matches or rate-limit errors from corrupting production-like facility dimensions.,Facility enrichment pipeline (3.4.x)
2025-12-04 11:57:21,"Round-, hole-, and shot-level tables will be exported separately for Phase 4 / Tableau, each carrying enough context to filter independently.",Tableau relationship model is simpler when lower-grain tables already contain higher-grain filter columns.,Phase 4 dashboards; dimensional modeling; export layer
